img_id,rep,date,live_a1,dead_a1,soil_a1,LAI_a1,live_a2,dead_a2,soil_a2,LAI_a2,live_a3,dead_a3,soil_a3,LAI_a3,live_a4,dead_a4,soil_a4,LAI_a4,LAI_m2,visual_cov,crop
r101a,1,06.06.2018,10.2526739,64.246210372,25.501115728,0.102526739,14.275065405,61.220760234,24.504174361,0.142750654,14.616997538,60.975492459,24.407510003,0.146169975,42.0292782395,33.3015927978,24.6691289628,0.420292782395,0.085,20,ryegrass
r101b,1,06.06.2018,10.451292705,65.179189751,24.369517544,0.104512927,14.417416898,62.215777932,23.366805171,0.144174169,14.745402432,62.012830871,23.241766697,0.147454024,41.0693674977,34.5962219144,24.3344105879,0.410693674977,0.085,20,ryegrass
r102a,1,06.06.2018,40.009425977,24.904778393,35.085795629,0.40009426,46.099761465,20.14562173,33.754616805,0.460997615,46.643678824,19.819559865,33.536761311,0.466436788,86.7069675285,6.48276392736,6.81026854417,0.867069675285,0.124489796,20,ryegrass
r102b,1,06.06.2018,37.974665282,24.691251154,37.334083564,0.379746653,43.961122653,20.087430748,35.951446599,0.439611227,44.485322407,19.786857495,35.727820098,0.444853224,86.462180671,6.15189289012,7.3859264389,0.86462180671,0.116326531,20,ryegrass
r103a,1,06.06.2018,42.691020314,23.550034626,33.75894506,0.426910203,47.677169898,20.164858418,32.157971684,0.476771699,48.114323638,19.952293013,31.933383349,0.481143236,84.1965797168,7.70862188366,8.09479839951,0.841965797168,0.189795918,25,ryegrass
r103b,1,06.06.2018,42.164415974,23.419225146,34.41635888,0.42164416,47.237130656,19.959025854,32.80384349,0.472371307,47.664185134,19.760407048,32.575407818,0.476641851,84.189846876,7.66918667282,8.14096645122,0.84189846876,0.191326531,25,ryegrass
r104a,1,06.06.2018,44.386253463,26.197964758,29.415781779,0.443862535,48.349011234,23.569752231,28.081236534,0.483490112,48.669302093,23.424996153,27.905701754,0.486693021,80.8686326562,10.4089719914,8.72239535242,0.808686326562,0.266914286,36,ryegrass
r104b,1,06.06.2018,45.122056787,26.22345337,28.654489843,0.451220568,49.029028163,23.584660665,27.386311173,0.490290282,49.323349492,23.438461834,27.238188673,0.493233495,80.8017851647,10.5647891659,8.63342566944,0.808017851647,0.274063776,36,ryegrass
r105a,1,06.06.2018,41.291551247,29.631713604,29.076735149,0.412915512,44.471375808,27.535395506,27.993228686,0.444713758,44.676246537,27.435845645,27.887907818,0.446762465,76.6134772238,12.1022814712,11.284241305,0.766134772238,0.278620408,38,ryegrass
r105b,1,06.06.2018,42.412569252,29.427804709,28.159626039,0.424125693,45.456294244,27.424303632,27.119402124,0.454562942,45.647699292,27.332929363,27.019371345,0.456476993,76.9784933826,12.1902893198,10.8312172976,0.769784933826,0.271879592,38,ryegrass
